Condition	Selection	region	mean_tail_length	median_tail_length
Red1DEL-FTP_RNAIP	IP	SPAC823.08c	21.52	21.52
Red1DEL-FTP_RNAIP	IP	SPAC823.09c	28.85	28.1
Red1DEL-FTP_RNAIP	IP	SPAC823.10c	26.045	26.045
Red1DEL-FTP_RNAIP	IP	SPAC823.11	20.775	20.775
Red1DEL-FTP_RNAIP	IP	SPAC823.12	43.0525	40.2
Red1DEL-FTP_RNAIP	IP	SPAC823.14	37.615	23.53
Red1DEL-FTP_RNAIP	IP	SPAC823.15	15.5775	13.71
Red1DEL-FTP_RNAIP	IP	SPAC823.17	25.1507142857143	22.685
Red1DEL-FTP_RNAIP	IP	SPAC824.03c	64.69	64.69
Red1DEL-FTP_RNAIP	IP	SPAC824.05	29.71	29.71
Red1DEL-FTP_RNAIP	IP	SPAC824.06	13.81	13.81
Red1DEL-FTP_RNAIP	IP	SPAC824.07	24.5642857142857	22.48
Red1DEL-FTP_RNAIP	IP	SPAC824.08	23.59	23.59
Red1DEL-FTP_RNAIP	IP	SPAC869.02c	30.8866666666667	15.62
Red1DEL-FTP_RNAIP	IP	SPAC890.02c	29.0533333333333	29.06
Red1DEL-FTP_RNAIP	IP	SPAC890.04c	29.616	23.62
Red1DEL-FTP_RNAIP	IP	SPAC890.05	6.09	6.09
Red1DEL-FTP_RNAIP	IP	SPAC890.06	38.9	38.9
Red1DEL-FTP_RNAIP	IP	SPAC890.07c	27.63	29.89
Red1DEL-FTP_RNAIP	IP	SPAC890.08	25.3951515151515	24.155
Red1DEL-FTP_RNAIP	IP	SPAC8C9.03	25.51	17.275
Red1DEL-FTP_RNAIP	IP	SPAC8C9.04	32.255	22.25
Red1DEL-FTP_RNAIP	IP	SPAC8C9.05	46.4703703703704	27.16
Red1DEL-FTP_RNAIP	IP	SPAC8C9.08	22.7114130434783	21.26
Red1DEL-FTP_RNAIP	IP	SPAC8C9.09c	10.25	10.25
Red1DEL-FTP_RNAIP	IP	SPAC8C9.10c	37.5	38.395
Red1DEL-FTP_RNAIP	IP	SPAC8C9.11	62.9425	61.815
Red1DEL-FTP_RNAIP	IP	SPAC8C9.12c	24.48	24.48
Red1DEL-FTP_RNAIP	IP	SPAC8C9.14	29.8275	30.515
Red1DEL-FTP_RNAIP	IP	SPAC8C9.15c	16.86625	17.03
Red1DEL-FTP_RNAIP	IP	SPAC8C9.16c	80.2	21.84
Red1DEL-FTP_RNAIP	IP	SPAC8C9.17c	28.1	28.1
Red1DEL-FTP_RNAIP	IP	SPAC8E11.01c	39.08	39.08
Red1DEL-FTP_RNAIP	IP	SPAC8E11.02c	22.9030769230769	18.21
Red1DEL-FTP_RNAIP	IP	SPAC8E11.04c	24.5866666666667	15.31
Red1DEL-FTP_RNAIP	IP	SPAC8E11.05c	29.124	28.68
Red1DEL-FTP_RNAIP	IP	SPAC8E11.06	33.701875	29.27
Red1DEL-FTP_RNAIP	IP	SPAC8E11.07c	23.36	23.36
Red1DEL-FTP_RNAIP	IP	SPAC8E11.08c	15.7	15.7
Red1DEL-FTP_RNAIP	IP	SPAC8E11.10	25.5633333333333	25.66
Red1DEL-FTP_RNAIP	IP	SPAC8F11.02c	38.0846153846154	32.95
Red1DEL-FTP_RNAIP	IP	SPAC8F11.03	5.64	5.64
Red1DEL-FTP_RNAIP	IP	SPAC8F11.04	42.675	42.675
Red1DEL-FTP_RNAIP	IP	SPAC8F11.07c	61.405	61.405
Red1DEL-FTP_RNAIP	IP	SPAC8F11.08c	36.13125	34.635
Red1DEL-FTP_RNAIP	IP	SPAC8F11.09c	36.57	42.34
Red1DEL-FTP_RNAIP	IP	SPAC9.02c	29.1175	22.305
Red1DEL-FTP_RNAIP	IP	SPAC9.03c	33.14	33.14
Red1DEL-FTP_RNAIP	IP	SPAC9.04	42.6519417475728	29.43
Red1DEL-FTP_RNAIP	IP	SPAC9.05	17.035	17.035
Red1DEL-FTP_RNAIP	IP	SPAC9.07c	19.61125	17.49
Red1DEL-FTP_RNAIP	IP	SPAC9.09	28.95046875	24.635
Red1DEL-FTP_RNAIP	IP	SPAC9.12c	16.67	16.67
Red1DEL-FTP_RNAIP	IP	SPAC9.13c	26.615	26.615
Red1DEL-FTP_RNAIP	IP	SPAC922.04	30.2188709677419	27.19
Red1DEL-FTP_RNAIP	IP	SPAC922.05c	12.4	12.4
Red1DEL-FTP_RNAIP	IP	SPAC922.06	20.16	20.16
Red1DEL-FTP_RNAIP	IP	SPAC922.07c	61.315	61.315
Red1DEL-FTP_RNAIP	IP	SPAC922.09	41.42	41.42
Red1DEL-FTP_RNAIP	IP	SPAC926.02	70.68	70.68
Red1DEL-FTP_RNAIP	IP	SPAC926.03	17.575	17.575
Red1DEL-FTP_RNAIP	IP	SPAC926.04c	39.3635294117647	29.94
Red1DEL-FTP_RNAIP	IP	SPAC926.05c	11.62	11.62
Red1DEL-FTP_RNAIP	IP	SPAC926.06c	31.21	31.21
Red1DEL-FTP_RNAIP	IP	SPAC926.07c	22.73	18.55
Red1DEL-FTP_RNAIP	IP	SPAC926.08c	33.075	33.075
Red1DEL-FTP_RNAIP	IP	SPAC926.09c	17.2833333333333	14.71
Red1DEL-FTP_RNAIP	IP	SPAC926.10	38.09	44.1
Red1DEL-FTP_RNAIP	IP	SPAC959.02	36.22	36.22
Red1DEL-FTP_RNAIP	IP	SPAC959.03c	22.3375	22.915
